comments,likes
 Everyone I speak to absolutely is disgusted by these two bullies & can't believe they are still employed.,323
they were beaten by ABC local radio,1500
One of the most embarrassing things about Australia is that we have people who listen to these two.,1400
"What’s even more sacrilegious Is these two aren’t Melburnians	 they are high Jacking our airways.",171
Can't believe the world we live in when they get paid so much but the people who deserve it like nurses paramedics doctors and other occupations that really make a difference struggle to get paid what they are worth,1700
I hope they donate to charities! So many are doing it tough!,96
Wouldn’t walk to the back door to listen to Kyle!,193
I got a question. Did someone win the noise cause I noticed the other day the noise has changed however I cannot find a winner anywhere or find what the last noise was?,6
"NO radio host deserves that amount of money a year! Just give me 1 of them and I could generate more interest in Melbourne! Those 2 are SO far past the common man	 they're in a world of their own self importance and awareness",221
If I had a choice of having to listen to their absolute  dribbling or complete silence. Silence would win 1 Billion times over.,134
OMG! Moved from Sydney to Melbourne 4 yrs ago and hoped I'd never have to hear the hype about them ever again!,180
Melbourne can see a couple of drop kicks from a mile away.,422
"Yesterday I was flicking stations and came across them having a conversation about Kyle's first time using cocaine	 and that he always has been and always will be a weed head. How is this appropriate on commercial radio??",165
Hope they fail miserably....both has beens,114
"My god	 somebody make Labrat wear a mask.",10
We here in Melbourne  have taste,329
Get out!,42
Why do we in Melbourne want to listen to a Sydney breakfast show ?,156
Thank goodness all that talk blowing them up like some superstars,22
Do they live in Melbourne or in Sydney. Of they doing the show from Sydney then maybe they should just stay in Sydney,31
Done and dusted they should have not played with the underdogs we all love,39
Need someone from Melbourne,9
Wouldn’t listen to them if you payed me. Stay in Sydney don’t need you here.,40
they were never going to convince Melbourne!,30
I don't understand how people in Sydney like them. I'm from Sydney and it makes me realise why the rest of the country hates us...this is our no.1 radio show?,873
"After the way the station handled the sacking of their morning presenters	 I decided to boycott them by not listening.",40
I hate Kyle,71
can they remove them from Brisbane's radio too.... i hate driving home from work and its them or the news - i rather listen to the news!,312
Not the least bit interested in hearing  these two,810
Today in the morning Kyle spoke about his cocaine use and put it in glowing terms. Nothing but disgust in how this is going on radio and I thought the sordid talk was bad. Utter garbage from these people and KIIS for allowing this,120
I would need to be paid $10 million a year to listen to them. Both overrated in my opinion,1400
How these two incredibly unintelligent people are so popular is beyond me. Has our communal intellectual capability fallen so low that this happens?,45
Yeah they can go.,13
I'd rather have nails hammered into my ears than listen to their Sydney centric rubbish.,11
I’d love them to take their obscene and grubby chat show back to Sydney. We have more class than that!!!!,109
"Wouldn’t it be great if the radio station chose kind	 positive hosts from Melbourne that don’t demand such a high salary and use the excess money to help build public housing?",70
Too big for themselves,28
No one is worth that wage especially some of the dribble they put out,69
"I loved kiis until Jase	 Lauren and Clint left. Couldn’t stand Jackie o and Kyle	 so would surf channels. Once I heard they were back at Nova	 I jumped ship!",293
i totally agree cant stand kyle,35
This has to be a joke this money should be spent where needed omg,28
It's time for them to go.  Their old.,30
"I am a dedicated Gold listener	 and love hearing the Christian O’Connell Show.  I guess that there are other good brekkie shows in Melbourne - each to their own taste.  However	 I think that Kyle and Jackie think they are better than anyone else and de… See more",126
"I love that they think it’s promising because they were only on for 3 of the 10 weeks of the ratings!! They may find once they are on for the full 10 weeks	 it’ll be even worse  … See more",150
I lasted 5 minutes Shocking radio,44
Use to listen to KISS but now follow Nova because they pushed out the other two. Who wants to listen to a show from Sydney anyway?,82
I don’t know how Kyle (and Jacki o) are allowed on air Over the last 10+ years whenever I’ve heard them on the radio their conversations are nonsense and completely inappropriate for the radio and young ears. Please put someone impressive in the radio. Thanks.,546
Ridiculous Of course they not lol hehe too funny Who?,3
Eric Cartman & Jackie o,50
It was obvious to anyone who was objective that Melbourne wouldn’t take kindly to two locals being kicked off the radio for two Sydney stars. Then you add in the foul content and complete lack of humility and you have a guarantee of failure. I listene… See more,20
Stay in Sydney.,51
They are foul !,18
Wouldn’t listen to these flogs even if they were the only radio station on air,11
